title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Cerebral cartography and connectomics,O Sporns,2015,90,"… Connectomics aims to chart network maps of the brain's structural and functional connections, across scales, from cells to systems, and these maps have begun to reveal principles of …",iN_yMMmaM3MJ,"O Sporns - Philosophical Transactions of the Royal Society B …, 2015 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC4387514/,unknown,unknown
From brain topography to brain topology: relevance of graph theory to functional neuroscience,"L Minati, G Varotto, L D'Incerti, F Panzica, D Chan",2013,57,… of graph-based analyses of brain connectivity and their relevance to disease aimed principally at general neuroscientists … field of connectomics and furthering our understanding of brain …,0griGPVkyP0J,"L Minati, G Varotto, L D'Incerti, F Panzica, D Chan - Neuroreport, 2013 - journals.lww.com",[],https://journals.lww.com/neuroreport/fulltext/2013/07100/Article.7.aspx,unknown,unknown
Connectomics and graph theory analyses: Novel insights into network abnormalities in epilepsy,"E Gleichgerrcht, M Kocher, L Bonilha",2015,166,"… aspects of abnormal networks to epilepsy. In … connectomics research regarding neural network architecture, dynamics, and function related to epilepsy. We discuss how connectomics …",7djjuJAHXhwJ,"E Gleichgerrcht, M Kocher, L Bonilha - Epilepsia, 2015 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/epi.13133,unknown,unknown
Statistical power in network neuroscience,"K Helwegen, I Libedinsky…",2023,79,"… From left to right, the figure illustrates the progression from investigating isolated brain areas (grey areas), to individual tracts (blue lines), to whole-brain connectomics (graph with nodes …",zqdqwU6PLt8J,"K Helwegen, I Libedinsky… - Trends in Cognitive …, 2023 - cell.com",[],https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(22)00328-X,unknown,unknown
Connectome-based individual prediction of cognitive behaviors via graph propagation network reveals directed brain network topology,"D Wu, X Li, J Feng",2021,25,… that graph neural network (GNN) which combines graph theory and neural network can be … graph propagation network (GPN) that parameterizes on the information propagation within …,hNQPfuD5fgcJ,"D Wu, X Li, J Feng - Journal of Neural Engineering, 2021 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1741-2552/ac0f4d/meta,unknown,unknown
A hands-on tutorial on network and topological neuroscience,"EGZ Centeno, G Moreni, C Vriend, L Douw…",2022,62,"… facilitate the use of network neuroscience and its constituents graph theory and TDA … Graph theory Here, we will cover the most commonly used graph metrics in network neuroscience …",CuadqUFhI3QJ,"EGZ Centeno, G Moreni, C Vriend, L Douw… - Brain Structure and …, 2022 - Springer",[],https://link.springer.com/article/10.1007/s00429-021-02435-0,unknown,unknown
Connectome: Graph theory application in functional brain network architecture,"F Vecchio, F Miraglia, PM Rossini",2017,249,"… Network science and graph theory … neuronal network structure, thus providing a conceptual frame that can help in reducing the analytical brain complexity and underlining how network …",dtv1LCcyGLcJ,"F Vecchio, F Miraglia, PM Rossini - Clinical neurophysiology practice, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2467981X17300276,unknown,unknown
"Network science and the human brain: using graph theory to understand the brain and one of its hubs, the amygdala, in health and disease","D Mears, HB Pollard",2016,168,"… Thus, the intrinsic amygdala connectome is set up for segregated functional processing … The work demonstrates the utility of graph theoretical approaches to brain networks because …",QHnXOgB3C6IJ,"D Mears, HB Pollard - Journal of neuroscience research, 2016 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/jnr.23705,unknown,unknown
Graph analysis of functional brain networks: practical issues in translational neuroscience,"FDV Fallani, J Richiardi, M Chavez…",2014,572,"… inherent topological properties of the networks and yield little power … graph theoretical approaches to analyse brain connectivity, our understanding of brain organization at the network …",vy3CmIJfkxQJ,"FDV Fallani, J Richiardi, M Chavez… - … Transactions of the …, 2014 - pmc.ncbi.nlm.nih.gov",[],https://pmc.ncbi.nlm.nih.gov/articles/PMC4150298/,unknown,unknown
From simple graphs to the connectome: networks in neuroimaging,O Sporns,2012,213,… The importance of brain connectivity naturally leads to the adoption of the theoretical framework of networks and graphs. Network science approaches have been productively deployed …,hRU1j30KXY0J,"O Sporns - Neuroimage, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1053811911010172,unknown,unknown
Graph theoretic analysis of brain connectomics in multiple sclerosis: reliability and relationship with cognition,"T Welton, CS Constantinescu, DP Auer…",2020,46,… of network integrity in MS are relevant for cognitive performance and reliable over time. We hypothesized that graph theoretic brain network … that graph theoretic brain network metrics …,m46MS3IO0ngJ,"T Welton, CS Constantinescu, DP Auer… - Brain …, 2020 - journals.sagepub.com",[],https://journals.sagepub.com/doi/abs/10.1089/brain.2019.0717,unknown,unknown
The connectomics of brain disorders,"A Fornito, A Zalesky, M Breakspear",2015,2131,"… Network science and graph theory offer powerful tools for overcoming these challenges to map, track and predict patterns of disease spread (Box 1; Fig. 1). The application of these …",IRbkyS18gEEJ,"A Fornito, A Zalesky, M Breakspear - Nature reviews neuroscience, 2015 - nature.com",[],https://www.nature.com/articles/nrn3901,unknown,unknown
The importance of the whole: topological data analysis for the network neuroscientist,"AE Sizemore, JE Phillips-Cremins, R Ghrist…",2019,279,"… on the mouse structural connectome, synapses in C. … network science, we might commonly translate our data into a binary graph and then proceed with techniques anchored in graph …",GkLQRC1cgo4J,"AE Sizemore, JE Phillips-Cremins, R Ghrist… - … Neuroscience, 2019 - direct.mit.edu",[],https://direct.mit.edu/netn/article-abstract/3/3/656/2178,unknown,unknown
Neuroscience needs network science,"DL Barabási, G Bianconi, E Bullmore…",2023,137,"… emerging frontiers for network neuroscience in the brain atlas era, … necessitated the use of graph theoretical tools, recent data … , and drug networks and their impact on the connectome. …",tqzIgGdIzssJ,"DL Barabási, G Bianconi, E Bullmore… - … of Neuroscience, 2023 - jneurosci.org",[],https://www.jneurosci.org/content/43/34/5989.abstract,unknown,unknown
"Graph neural networks in brain connectivity studies: Methods, challenges, and future directions","H Mohammadi, W Karwowski",2024,93,… Interpretable graph neural networks for connectome-based brain disorder analysis. In … Joint embedding of structural and functional brain networks with graph neural networks for mental …,m6Aq6uewcr0J,"H Mohammadi, W Karwowski - Brain Sciences, 2024 - mdpi.com",[],https://www.mdpi.com/2076-3425/15/1/17,unknown,unknown
The human connectome: a complex network,O Sporns,2011,1783,"… network concepts and network thinking to the human brain. I will survey the contributions of network science to our understanding of how human brain … Throughout, I will attempt to chart …",G9cAvraPahMJ,"O Sporns - Annals of the new York Academy of Sciences, 2011 - Wiley Online Library",[],https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-6632.2010.05888.x,unknown,unknown
Machine learning with brain graphs: predictive modeling approaches for functional imaging in systems neuroscience,"J Richiardi, S Achard, H Bunke…",2013,250,"… In what we believe to be the earliest use of machine learning on brain graphs in clinical neuroscience, an atlas was used to extract 22 brain regions, from which a brain graph was …",l9ppJhB6DWkJ,"J Richiardi, S Achard, H Bunke… - IEEE Signal processing …, 2013 - miplab.epfl.ch",[],https://miplab.epfl.ch/pub/richiardi1301.pdf,unknown,unknown
